company,sector,pageUrl,Description,investmentStart,investmentEnd,returnTime,averageCompanyBilling,totalUnits,contact,workStyle,site,perfilFranqueado,seleção,state,cnpj,society,companySize,dateOfOpening,principalActivity,secondaryActivity,companyStatus,dateOfStatus,totalFuncionarios,totalArea,faturamentoMedio,capitalInstalacao,taxaFranquia,taxaPropaganda,taxaRoyalties,beneficiosFranqueado,capital_needed,prazo,features
agxt,7,https://franquias.portaldofranchising.com.br/franquia-agaxtur/,,300000.0,0.0,0,0,56.0,(11) 3067-0900,2,http://www.agaxturviagens.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,11,35689106000129,2,0,03/12/2019,7740300  gestao de ativos intangiveis naofinanceiros,,1,03/12/2019,-,-,0,0,0,-,-,,2,0,    7740300  gestao de ativos intangiveis naofinanceiros 
am pm,1,https://franquias.portaldofranchising.com.br/franquia-am-pm-mini-market-conveniencia/,maior rede de franquia de alimentacao saudavel do brasil sao 5 modelos de negocio com investimento a partir de r 90mil ate mais de r 600mil,270000.0,0.0,27,0,1841.0,(11) 3429-4305,2,http://www.ipiranga.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,6,40299810000105,2,0,09/09/1991,4639701  comercio atacadista de produtos alimenticios em geral,4530701  comercio por atacado de pecas e acessorios novos para veiculos automotores,1,03/11/2005,de 15 a 15,de 125 a 125 m²,0,278250.0,22000.0,1%,6%, apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja,2,2,maior rede de franquia de alimentacao saudavel do brasil sao 5 modelos de negocio com investimento a partir de r 90mil ate mais de r 600mil    apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja 4639701  comercio atacadista de produtos alimenticios em geral 4530701  comercio por atacado de pecas e acessorios novos para veiculos automotores
american cookies,1,https://franquias.portaldofranchising.com.br/franquia-american-cookies/,a american cookies possui a receita exclusiva do amor sem perder a qualidade da producao artesanal com ingredientes selecionados e premiuns o resultado e um incomparavel cookie levemente crocante por fora macio por dentro e com recheios de sabores inesqueciveis alem de um delicioso chocolate que derrete na boca a opcao perfeita para uma guloseima genuinamente americana,144900.0,0.0,24,0,27.0,(61) 99279-0343,2,https://amcookies.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,6,34900095000111,2,0,17/09/2019,1092900  fabricacao de biscoitos e bolachas,4637107  comercio atacadista de chocolates confeitos balas bombons e semelhantes,1,17/09/2019,de 0 a 0,de 6 a 60 m²,70000,0,0,-,-,,2,3,a american cookies possui a receita exclusiva do amor sem perder a qualidade da producao artesanal com ingredientes selecionados e premiuns o resultado e um incomparavel cookie levemente crocante por fora macio por dentro e com recheios de sabores inesqueciveis alem de um delicioso chocolate que derrete na boca a opcao perfeita para uma guloseima genuinamente americana    1092900  fabricacao de biscoitos e bolachas 4637107  comercio atacadista de chocolates confeitos balas bombons e semelhantes
arranjos express,12,https://franquias.portaldofranchising.com.br/franquia-arranjos-express/,mais que uma rede de costura a arranjos express atua com excelencia desde um simples servico de barra ate as mais complexas customizacoes com o conceito de costura criativa criamos junto ao mercado um novo habito de consumo onde o cliente pode consertar transformar adequar e reaproveitar suas pecas,116000.0,0.0,13,0,115.0,(11) 3842-0211,2,http://www.arranjosexpress.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,6,33255515000191,2,1,04/04/2019,1412602  confeccao sob medida de pecas do vestuario exceto roupas intimas,,1,04/04/2019,de 6 a 6,de 63 a 63 m²,0,42000.0,40000.0,2%,6%, apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja,2,3,mais que uma rede de costura a arranjos express atua com excelencia desde um simples servico de barra ate as mais complexas customizacoes com o conceito de costura criativa criamos junto ao mercado um novo habito de consumo onde o cliente pode consertar transformar adequar e reaproveitar suas pecas    apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja 1412602  confeccao sob medida de pecas do vestuario exceto roupas intimas 
atitude point,9,https://franquias.portaldofranchising.com.br/franquia-atitude-point/,oferecer milhares de opcoes em oculos para sua moda em uma realidade em que estamos cara a cara com todo o mundo atraves de novas conexoes a atitude proporciona a qualquer um isso mesmo a qualquer pessoa qualquer um de nos a possibilidade de se reinventar de resignificar sua trajetoria e de se transformar a cada dia atitude,94900.0,0.0,12,0,39.0,(11) 4883-0617,2,http://www.atitudepoint.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,2,28011879000439,4,2,31/01/2018,4774100  comercio varejista de artigos de optica,,1,31/01/2018,-,-,45000,0,59900.0,1.5% do faturamento,Não cobramos, apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja,2,1,oferecer milhares de opcoes em oculos para sua moda em uma realidade em que estamos cara a cara com todo o mundo atraves de novas conexoes a atitude proporciona a qualquer um isso mesmo a qualquer pessoa qualquer um de nos a possibilidade de se reinventar de resignificar sua trajetoria e de se transformar a cada dia atitude    apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja 4774100  comercio varejista de artigos de optica 
babbo giovanni,1,https://franquias.portaldofranchising.com.br/franquia-babbo-giovanni/,voce pode levar a tradicao da babbo giovanni para sua cidade seja um franqueado e faca parte da nossa historia as vantagens de ter uma franquia vao alem da independencia financeira com uma franquia babbo giavanni voce conquista a oportunidade de usufruir os beneficios de uma marca solida e tradicional que tem como alicerce o knowhow de como oferecer e como preparar as famosas pizzas babbo giovanni,320000.0,0.0,24,0,13.0,(11) 5081-2000_,2,http://www.babbogiovanni.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,11,3334365000140,4,0,04/08/1999,7020400  atividades de consultoria em gestao empresarial exceto consultoria tecnica especifica,7740300  gestao de ativos intangiveis naofinanceiros 8230001  servicos de organizacao de feiras congressos exposicoes e festas,1,10/06/2008,de 10 a 10,de 250 a 250 m²,100000,260000.0,60000.0,2% FATURAMENTO BRUTO,4% FATURAMENTO BRUTO, apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja,1,3,voce pode levar a tradicao da babbo giovanni para sua cidade seja um franqueado e faca parte da nossa historia as vantagens de ter uma franquia vao alem da independencia financeira com uma franquia babbo giavanni voce conquista a oportunidade de usufruir os beneficios de uma marca solida e tradicional que tem como alicerce o knowhow de como oferecer e como preparar as famosas pizzas babbo giovanni    apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja 7020400  atividades de consultoria em gestao empresarial exceto consultoria tecnica especifica 7740300  gestao de ativos intangiveis naofinanceiros 8230001  servicos de organizacao de feiras congressos exposicoes e festas
bebidas online,1,https://franquias.portaldofranchising.com.br/franquia-bebidas-online/,invista a partir de r1990000 no maior aplicativo de delivery de bebidas do brasil seja franqueado bebidas online e fatura  de r1 milhao ao ano e tenha total exclusividade em sua cidade,0.0,0.0,0,0,31.0,(17) 99649-7104,0,https://www.bebidasonline.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,11,37367436000123,2,1,09/06/2020,7490104  atividades de intermediacao e agenciamento de servicos e negocios em geral exceto imobiliarios dispensada ,8291100  atividades de cobrancas e informacoes cadastrais dispensada ,1,09/06/2020,-,-,0,0,0,-,-,,0,0,invista a partir de r1990000 no maior aplicativo de delivery de bebidas do brasil seja franqueado bebidas online e fatura  de r1 milhao ao ano e tenha total exclusividade em sua cidade    7490104  atividades de intermediacao e agenciamento de servicos e negocios em geral exceto imobiliarios dispensada  8291100  atividades de cobrancas e informacoes cadastrais dispensada 
bidon corretora de seguros,12,https://franquias.portaldofranchising.com.br/franquia-bidoncred/,abra agora mesmo sua corretora de seguros com quem ja tem 30 anos de experiencia no mercado que tal voce tera uma loja ja pronta e montada com o padrao bidon essa modalidade foi feita para atender empreendedores que buscam um local de trabalho padronizado porem com baixo investimento,12990.0,0.0,0,0,0.0,(51) 98435-7735,2,http://www.bidonoficial.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,7,13165921000156,2,2,26/01/2011,6622300  corretores e agentes de seguros de planos de previdencia complementar e de saude,7740300  gestao de ativos intangiveis naofinanceiros,1,26/01/2011,-,-,0,0,0,-,-,,2,0,abra agora mesmo sua corretora de seguros com quem ja tem 30 anos de experiencia no mercado que tal voce tera uma loja ja pronta e montada com o padrao bidon essa modalidade foi feita para atender empreendedores que buscam um local de trabalho padronizado porem com baixo investimento    6622300  corretores e agentes de seguros de planos de previdencia complementar e de saude 7740300  gestao de ativos intangiveis naofinanceiros
biomundo,1,https://franquias.portaldofranchising.com.br/franquia-bio-mundo/,a bio mundo rede de lojas de produtos naturais e nutricao esportiva pensando em expandir as possibilidades de negocios dos futuros franqueados e assim atender a diversos tipos de investidores estudou novos modelos de franquia e lanca a bio small,415000.0,0.0,0,0,132.0,(61) 3771-2800,2,http://www.biomundo.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,1,29590694000146,4,2,01/02/2018,4729699  comercio varejista de produtos alimenticios em geral ou especializado em produtos alimenticios nao especificados anteriormente,4759899  comercio varejista de outros artigos de uso pessoal e domestico nao especificados anteriormente,1,01/02/2018,-,-,0,0,0,-,-,,1,0,a bio mundo rede de lojas de produtos naturais e nutricao esportiva pensando em expandir as possibilidades de negocios dos futuros franqueados e assim atender a diversos tipos de investidores estudou novos modelos de franquia e lanca a bio small    4729699  comercio varejista de produtos alimenticios em geral ou especializado em produtos alimenticios nao especificados anteriormente 4759899  comercio varejista de outros artigos de uso pessoal e domestico nao especificados anteriormente
bmz auto brokers,11,https://franquias.portaldofranchising.com.br/franquia-bmz-auto-brokers/,venda ate 500 mil em veiculos por mes e fature alto intermediando negociacoes automotivas tenha sua concessionaria digital e faca parte da revolucao do mercado automotivo,38000.0,0.0,0,0,100.0,(19) 3861-0010,0,http://www.bmz.com.br/?utm_source=portaldofranchising&utm_medium=minisite,,,6,36982402000186,2,0,22/04/2020,7490104  atividades de intermediacao e agenciamento de servicos e negocios em geral exceto imobiliarios,4511102  comercio a varejo de automoveis camionetas e utilitarios usados,1,22/04/2020,-,-,0,0,0,-,-,,2,0,venda ate 500 mil em veiculos por mes e fature alto intermediando negociacoes automotivas tenha sua concessionaria digital e faca parte da revolucao do mercado automotivo    7490104  atividades de intermediacao e agenciamento de servicos e negocios em geral exceto imobiliarios 4511102  comercio a varejo de automoveis camionetas e utilitarios usados
